-------------------------------------------------------------------------------------------------------------------------------------------------------------------
       Observed       |     Aki     |     fik     | Acc. |        Ei           Ek        |           Lower level           |           Upper level           |Type|
      Wavelength      |   (s^-1)    |             |      |       (eV)         (eV)       |---------------------------------|---------------------------------|    |
       Vac (nm)       |             |             |      |                               | Conf.                 | Term    | Conf.                 | Term    |    |
                      |             |             |      |                               |                       |         |                       |         |    |
          425.2382    | 1.11e+05    | 1.8e-04     | C+   |  11.54835442  -   14.46399577 | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 3s2.3p5.(2P*<3/2>).5p | 2[1/2]  |    |
          426.0561    | 3.98e+06    | 3.61e-03    | B+   |  11.82807116  -   14.73811536 | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 3s2.3p5.(2P*<1/2>).5p | 2[1/2]  |    |
          426.7487    | 3.1e+05     | 1.42e-03    | C+   |  11.62359272  -   14.52891349 | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 3s2.3p5.(2P*<3/2>).5p | 2[3/2]  |    |
          427.3371    | 8.0e+05     | 2.18e-03    | B    |  11.62359272  -   14.52491330 | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 3s2.3p5.(2P*<3/2>).5p | 2[3/2]  |    |
          430.1311    | 3.77e+05    | 1.74e-03    | B+   |  11.62359272  -   14.50606764 | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 3s2.3p5.(2P*<3/2>).5p | 2[5/2]  |    |
                      |             |             |      |                               |                       |         |                       |         |    |
          433.4779    | 5.7e+05     | 2.67e-03    | B+   |  11.82807116  -   14.68829030 | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 3s2.3p5.(2P*<1/2>).5p | 2[3/2]  |    |
          433.6557    | 3.9e+05     | 1.09e-03    | C+   |  11.82807116  -   14.68711824 | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 3s2.3p5.(2P*<1/2>).5p | 2[1/2]  |    |
          434.6390    | 3.0e+05     | 8.4e-04     | B    |  11.82807116  -   14.68065033 | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 3s2.3p5.(2P*<1/2>).5p | 2[3/2]  |    |
          451.1998    | 1.18e+06    | 1.20e-03    | B+   |  11.82807116  -   14.57594878 | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 3s2.3p5.(2P*<3/2>).5p | 2[1/2]  |    |
          452.3591    | 9.0e+04     | 8.3e-04     | B    |  11.72316039  -   14.46399577 | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 3s2.3p5.(2P*<3/2>).5p | 2[1/2]  |    |
                      |             |             |      |                               |                       |         |                       |         |    |
          459.7385    | 9.5e+04     | 3.0e-04     | B    |  11.82807116  -   14.52491330 | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 3s2.3p5.(2P*<3/2>).5p | 2[3/2]  |    |
          462.9737    | 3.83e+04    | 2.05e-04    | B+   |  11.82807116  -   14.50606764 | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 3s2.3p5.(2P*<3/2>).5p | 2[5/2]  |    |
          470.3632    | 1.09e+05    | 3.6e-04     | B    |  11.82807116  -   14.46399577 | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 3s2.3p5.(2P*<3/2>).5p | 2[1/2]  |    |
          515.2826    | 2.39e+06    | 3.17e-03    | C    |  12.90701530  -   15.3131553  | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 3s2.3p5.(2P*<3/2>).6d | 2[1/2]* |    |
          516.3723    | 1.90e+06    | 7.60e-03    | C    |  12.90701530  -   15.30807770 | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 3s2.3p5.(2P*<3/2>).6d | 2[1/2]* |    |
                      |             |             |      |                               |                       |         |                       |         |    |
          518.9191    | 1.38e+06    | 9.29e-03    | C    |  12.90701530  -   15.29629325 | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 3s2.3p5.(2P*<1/2>).5d | 2[3/2]* |    |
          522.2725    | 8.8e+05     | 4.6e-03     | D    |  13.07571571  -   15.4496531  | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3s2.3p5.(2P*<3/2>).7d | 2[7/2]* |    |
          542.2859    | 6.0e+05     | 1.9e-03     | D    |  13.07571571  -   15.3620414  | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3s2.3p5.(2P*<3/2>).8s | 2[3/2]* |    |
          545.3167    | 4.7e+05     | 3.5e-03     | D+   |  12.90701530  -   15.18063359 | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 3s2.3p5.(2P*<3/2>).7s | 2[3/2]* |    |
          549.7401    | 1.69e+06    | 9.84e-03    | C    |  13.07571571  -   15.3310400  | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3s2.3p5.(2P*<3/2>).6d | 2[7/2]* |    |
                      |             |             |      |                               |                       |         |                       |         |    |
          550.7643    | 3.6e+05     | 2.3e-03     | D+   |  13.09487256  -   15.34600299 | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3s2.3p5.(2P*<3/2>).6d | 2[7/2]* |    |
          556.0246    | 1.42e+06    | 1.10e-02    | C    |  12.90701530  -   15.13684847 | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 3s2.3p5.(2P*<3/2>).5d | 2[3/2]* |    |
          557.4088    | 6.6e+05     | 4.3e-03     | C    |  13.09487256  -   15.31916801 | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3s2.3p5.(2P*<1/2>).5d | 2[5/2]* |    |
          560.8290    | 2.20e+06    | 1.04e-02    | C    |  12.90701530  -   15.11774638 | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 3s2.3p5.(2P*<3/2>).5d | 2[1/2]* |    |
          565.2272    | 3.20e+06    | 5.11e-03    | C    |  12.90701530  -   15.10054371 | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 3s2.3p5.(2P*<3/2>).5d | 2[1/2]* |    |
                      |             |             |      |                               |                       |         |                       |         |    |
          574.1112    | 8.7e+05     | 7.2e-03     | D    |  13.15314387  -   15.31272913 | 3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 3s2.3p5.(2P*<1/2>).5d | 2[5/2]* |    |
          583.5880    | 5.2e+05     | 2.7e-03     | C    |  13.17177770  -   15.29629325 | 3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 3s2.3p5.(2P*<1/2>).5d | 2[3/2]* |    |
          586.1934    | 2.85e+05    | 1.47e-03    | C    |  12.90701530  -   15.02208834 | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 3s2.3p5.(2P*<1/2>).6s | 2[1/2]* |    |
          588.4254    | 1.23e+06    | 2.13e-03    | C    |  12.90701530  -   15.0140655  | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 3s2.3p5.(2P*<1/2>).6s | 2[1/2]* |    |
          589.0216    | 1.29e+06    | 4.79e-03    | C    |  13.07571571  -   15.18063359 | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3s2.3p5.(2P*<3/2>).7s | 2[3/2]* |    |
                      |             |             |      |                               |                       |         |                       |         |    |
          591.3723    | 1.05e+06    | 5.51e-03    | C    |  12.90701530  -   15.00356588 | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 3s2.3p5.(2P*<1/2>).4d | 2[3/2]* |    |
          593.0456    | 1.1e+06     | 3.5e-03     | D+   |  13.09487256  -   15.18550800 | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3s2.3p5.(2P*<3/2>).7s | 2[3/2]* |    |
          594.4315    | 1.8e+05     | 9.5e-04     | D    |  13.09487256  -   15.18063359 | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3s2.3p5.(2P*<3/2>).7s | 2[3/2]* |    |
          598.8960    | 1.2e+05     | 6.5e-04     | D    |  13.07571571  -   15.14592830 | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3s2.3p5.(2P*<3/2>).5d | 2[7/2]* |    |
          600.0661    | 1.4e+05     | 7.6e-04     | D    |  13.09487256  -   15.1610486  | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3s2.3p5.(2P*<3/2>).5d | 2[5/2]* |    |
                      |             |             |      |                               |                       |         |                       |         |    |
          602.6819    | 9.0e+05     | 2.9e-03     | D+   |  13.30222747  -   15.3594356  | 3s2.3p5.(2P*<1/2>).4p | 2[3/2]  | 3s2.3p5.(2P*<1/2>).7s | 2[1/2]* |    |
          603.3797    | 2.46e+06    | 1.73e-02    | C    |  13.07571571  -   15.13054437 | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3s2.3p5.(2P*<3/2>).5d | 2[7/2]* |    |
          604.4896    | 1.47e+06    | 1.13e-02    | C    |  13.09487256  -   15.14592830 | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3s2.3p5.(2P*<3/2>).5d | 2[7/2]* |    |
          605.4399    | 1.9e+05     | 1.7e-03     | D+   |  12.90701530  -   14.95485204 | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 3s2.3p5.(2P*<1/2>).4d | 2[5/2]* |    |
          606.1050    | 4.2e+05     | 3.9e-03     | C    |  12.90701530  -   14.95260474 | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 3s2.3p5.(2P*<1/2>).4d | 2[3/2]* |    |
                      |             |             |      |                               |                       |         |                       |         |    |
          610.0491    | 5.2e+05     | 2.9e-03     | D+   |  13.15314387  -   15.18550800 | 3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 3s2.3p5.(2P*<3/2>).7s | 2[3/2]* |    |
          610.7325    | 1.21e+06    | 1.13e-02    | C    |  13.28263902  -   15.31272913 | 3s2.3p5.(2P*<1/2>).4p | 2[3/2]  | 3s2.3p5.(2P*<1/2>).5d | 2[5/2]* |    |
          614.7142    | 7.6e+05     | 6.0e-03     | C    |  13.30222747  -   15.31916801 | 3s2.3p5.(2P*<1/2>).4p | 2[3/2]  | 3s2.3p5.(2P*<1/2>).5d | 2[5/2]* |    |
          617.1881    | 5.0e+05     | 2.9e-03     | C    |  13.17177770  -   15.18063359 | 3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 3s2.3p5.(2P*<3/2>).7s | 2[3/2]* |    |
          617.4804    | 6.7e+05     | 6.4e-03     | C    |  13.15314387  -   15.1610486  | 3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 3s2.3p5.(2P*<3/2>).5d | 2[5/2]* |    |
                      |             |             |      |                               |                       |         |                       |         |    |
          621.4222    | 3.9e+05     | 3.2e-03     | D+   |  13.17177770  -   15.1669463  | 3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 3s2.3p5.(2P*<3/2>).5d | 2[5/2]* |    |
          621.7658    | 5.7e+05     | 3.3e-03     | D+   |  13.30222747  -   15.29629325 | 3s2.3p5.(2P*<1/2>).4p | 2[3/2]  | 3s2.3p5.(2P*<1/2>).5d | 2[3/2]* |    |
          629.8613    | 9.0e+05     | 8.9e-03     | D+   |  13.32785705  -   15.29629325 | 3s2.3p5.(2P*<1/2>).4p | 2[1/2]  | 3s2.3p5.(2P*<1/2>).5d | 2[3/2]* |    |
          630.9401    | 6.0e+05     | 3.6e-03     | D+   |  13.17177770  -   15.13684847 | 3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 3s2.3p5.(2P*<3/2>).5d | 2[3/2]* |    |
          637.1336    | 4.2e+05     | 1.5e-03     | D+   |  13.17177770  -   15.11774638 | 3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 3s2.3p5.(2P*<3/2>).5d | 2[1/2]* |    |
                      |             |             |      |                               |                       |         |                       |         |    |
