-------------------------------------------------------------------------------------------------------------------------------------------------
         Observed         |     Aki      |     fik      | Acc. |             Ei           Ek               |  Lower level  |  Upper level  |Type|
        Wavelength        |    (s^-1)    |              |      |            (eV)         (eV)              |---------------|---------------|    |
         Vac (nm)         |              |              |      |                                           | Conf.  | Term | Conf.  | Term |    |
            355.5430      | 3.6386e+04   | 4.1374e-05   | AAA  |  [20.96408688908]  -   [24.451273968544]  | 1s.2p  | 3P*  | 1s.10d | 3D   |    |
            355.5430      | 3.2745e+05   | 6.2056e-04   | AAA  |  [20.96408688908]  -   [24.451273822448]  | 1s.2p  | 3P*  | 1s.10d | 3D   |    |
            355.5430      | 1.3099e+05   | 3.4754e-04   | AAA  |  [20.96408688908]  -   [24.451273812052]  | 1s.2p  | 3P*  | 1s.10d | 3D   |    |
                          |              |              |      |                                           |        |      |        |      |    |
            355.5430      | 5.4579e+05   | 1.0343e-03   | AAA  |  [20.96409636464]  -   [24.451273968544]  | 1s.2p  | 3P*  | 1s.10d | 3D   |    |
            355.5430      | 9.8235e+05   | 3.1028e-03   | AAA  |  [20.96409636464]  -   [24.451273822448]  | 1s.2p  | 3P*  | 1s.10d | 3D   |    |
            356.3997      | 2.6868e+05   | 3.0698e-04   | AAA  |  [20.96408688908]  -   [24.44289339729]   | 1s.2p  | 3P*  | 1s.10s | 3S   |    |
            356.3997      | 1.6121e+05   | 3.0699e-04   | AAA  |  [20.96409636464]  -   [24.44289339729]   | 1s.2p  | 3P*  | 1s.10s | 3S   |    |
            358.8294      | 5.0298e+04   | 5.8255e-05   | AAA  |  [20.96408688908]  -   [24.419335779720]  | 1s.2p  | 3P*  | 1s.9d  | 3D   |    |
                          |              |              |      |                                           |        |      |        |      |    |
            358.8294      | 4.5265e+05   | 8.7376e-04   | AAA  |  [20.96408688908]  -   [24.419335579246]  | 1s.2p  | 3P*  | 1s.9d  | 3D   |    |
            358.8294      | 1.8107e+06   | 4.8933e-03   | AAA  |  [20.96408688908]  -   [24.419335565023]  | 1s.2p  | 3P*  | 1s.9d  | 3D   |    |
            358.8294      | 7.5448e+05   | 1.4564e-03   | AAA  |  [20.96409636464]  -   [24.419335779720]  | 1s.2p  | 3P*  | 1s.9d  | 3D   |    |
            358.8294      | 1.3580e+06   | 4.3690e-03   | AAA  |  [20.96409636464]  -   [24.419335579246]  | 1s.2p  | 3P*  | 1s.9d  | 3D   |    |
            361.4674      | 3.8022e+06   | 2.2343e-02   | AAA  |  [20.615774823]    -   [24.04580040653]   | 1s.2s  | 1S   | 1s.5p  | 1P*  |    |
                          |              |              |      |                                           |        |      |        |      |    |
            365.3031      | 5.4136e+05   | 6.4983e-04   | AAA  |  [20.96408688908]  -   [24.3581041440]    | 1s.2p  | 3P*  | 1s.8s  | 3S   |    |
            365.3031      | 3.2481e+05   | 6.4982e-04   | AAA  |  [20.96409636464]  -   [24.3581041440]    | 1s.2p  | 3P*  | 1s.8s  | 3S   |    |
            370.6059      | 1.0980e+05   | 1.3565e-04   | AAA  |  [20.96408688908]  -   [24.309541353601]  | 1s.2p  | 3P*  | 1s.7d  | 3D   |    |
            370.6059      | 9.8814e+05   | 2.0347e-03   | AAA  |  [20.96408688908]  -   [24.309540927161]  | 1s.2p  | 3P*  | 1s.7d  | 3D   |    |
