obs_wl_vac(nm),intens,Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,conf_k,term_k,Type,
"415.8590","400","1.40e+06","3.6e-03",B,"11.54835442","14.52891349","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","3s2.3p5.(2P*<3/2>).5p","2[3/2]",,
"416.4180","50","2.9e+05","4.5e-04",B,"11.54835442","14.52491330","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","3s2.3p5.(2P*<3/2>).5p","2[3/2]",,
"418.1884","50","5.6e+05","4.4e-03",B,"11.72316039","14.68711824","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","3s2.3p5.(2P*<1/2>).5p","2[1/2]",,
"419.0713","100","2.80e+05","7.4e-04",B,"11.54835442","14.50606764","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","3s2.3p5.(2P*<3/2>).5p","2[5/2]",,
"419.1029","50","5.4e+05","4.3e-03",C+,"11.72316039","14.68065033","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","3s2.3p5.(2P*<1/2>).5p","2[3/2]",,
"419.8317","200","2.57e+06","2.26e-03",B,"11.62359272","14.57594878","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","3s2.3p5.(2P*<3/2>).5p","2[1/2]",,
"420.0674","400","9.7e+05","3.6e-03",B+,"11.54835442","14.49905364","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","3s2.3p5.(2P*<3/2>).5p","2[5/2]",,
"425.1185","25","1.11e+05","1.8e-04",C+,"11.54835442","14.46399577","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","3s2.3p5.(2P*<3/2>).5p","2[1/2]",,
"425.9362","200","3.98e+06","3.61e-03",B+,"11.82807116","14.73811536","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","3s2.3p5.(2P*<1/2>).5p","2[1/2]",,
"426.6286","100","3.1e+05","1.42e-03",C+,"11.62359272","14.52891349","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","3s2.3p5.(2P*<3/2>).5p","2[3/2]",,
"427.2169","150","8.0e+05","2.18e-03",B,"11.62359272","14.52491330","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","3s2.3p5.(2P*<3/2>).5p","2[3/2]",,
"430.0101","100","3.77e+05","1.74e-03",B+,"11.62359272","14.50606764","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","3s2.3p5.(2P*<3/2>).5p","2[5/2]",,
"433.3561","100","5.7e+05","2.67e-03",B+,"11.82807116","14.68829030","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","3s2.3p5.(2P*<1/2>).5p","2[3/2]",,
"433.5338","50","3.9e+05","1.09e-03",C+,"11.82807116","14.68711824","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","3s2.3p5.(2P*<1/2>).5p","2[1/2]",,
"434.5168","25","3.0e+05","8.4e-04",B,"11.82807116","14.68065033","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","3s2.3p5.(2P*<1/2>).5p","2[3/2]",,
"451.0733","100","1.18e+06","1.20e-03",B+,"11.82807116","14.57594878","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","3s2.3p5.(2P*<3/2>).5p","2[1/2]",,
"452.2323","20","9.0e+04","8.3e-04",B,"11.72316039","14.46399577","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","3s2.3p5.(2P*<3/2>).5p","2[1/2]",,
"459.6097","15","9.5e+04","3.0e-04",B,"11.82807116","14.52491330","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","3s2.3p5.(2P*<3/2>).5p","2[3/2]",,
"462.8441","7","3.83e+04","2.05e-04",B+,"11.82807116","14.50606764","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","3s2.3p5.(2P*<3/2>).5p","2[5/2]",,
"470.2316","15","1.09e+05","3.6e-04",B,"11.82807116","14.46399577","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","3s2.3p5.(2P*<3/2>).5p","2[1/2]",,
"515.1391","5","2.39e+06","3.17e-03",C,"12.90701530","15.3131553","3s2.3p5.(2P*<3/2>).4p","2[1/2]","3s2.3p5.(2P*<3/2>).6d","2[1/2]*",,
"516.2285","15","1.90e+06","7.60e-03",C,"12.90701530","15.30807770","3s2.3p5.(2P*<3/2>).4p","2[1/2]","3s2.3p5.(2P*<3/2>).6d","2[1/2]*",,
"518.7746","20","1.38e+06","9.29e-03",C,"12.90701530","15.29629325","3s2.3p5.(2P*<3/2>).4p","2[1/2]","3s2.3p5.(2P*<1/2>).5d","2[3/2]*",,
"522.1271","7","8.8e+05","4.6e-03",D,"13.07571571","15.4496531","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3s2.3p5.(2P*<3/2>).7d","2[7/2]*",,
"542.1352","5","6.0e+05","1.9e-03",D,"13.07571571","15.3620414","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3s2.3p5.(2P*<3/2>).8s","2[3/2]*",,
"545.1652","10","4.7e+05","3.5e-03",D+,"12.90701530","15.18063359","3s2.3p5.(2P*<3/2>).4p","2[1/2]","3s2.3p5.(2P*<3/2>).7s","2[3/2]*",,
"549.5874","25","1.69e+06","9.84e-03",C,"13.07571571","15.3310400","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3s2.3p5.(2P*<3/2>).6d","2[7/2]*",,
"550.6113","5","3.6e+05","2.3e-03",D+,"13.09487256","15.34600299","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3s2.3p5.(2P*<3/2>).6d","2[7/2]*",,
"555.8702","25","1.42e+06","1.10e-02",C,"12.90701530","15.13684847","3s2.3p5.(2P*<3/2>).4p","2[1/2]","3s2.3p5.(2P*<3/2>).5d","2[3/2]*",,
"557.2541","10","6.6e+05","4.3e-03",C,"13.09487256","15.31916801","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3s2.3p5.(2P*<1/2>).5d","2[5/2]*",,
"560.6733","35","2.20e+06","1.04e-02",C,"12.90701530","15.11774638","3s2.3p5.(2P*<3/2>).4p","2[1/2]","3s2.3p5.(2P*<3/2>).5d","2[1/2]*",,
"565.0704","20","3.20e+06","5.11e-03",C,"12.90701530","15.10054371","3s2.3p5.(2P*<3/2>).4p","2[1/2]","3s2.3p5.(2P*<3/2>).5d","2[1/2]*",,
"573.9520","10","8.7e+05","7.2e-03",D,"13.15314387","15.31272913","3s2.3p5.(2P*<3/2>).4p","2[3/2]","3s2.3p5.(2P*<1/2>).5d","2[5/2]*",,
"583.4263","5","5.2e+05","2.7e-03",C,"13.17177770","15.29629325","3s2.3p5.(2P*<3/2>).4p","2[3/2]","3s2.3p5.(2P*<1/2>).5d","2[3/2]*",,
"586.0310","10","2.85e+05","1.47e-03",C,"12.90701530","15.02208834","3s2.3p5.(2P*<3/2>).4p","2[1/2]","3s2.3p5.(2P*<1/2>).6s","2[1/2]*",,
"588.2624","15","1.23e+06","2.13e-03",C,"12.90701530","15.0140655","3s2.3p5.(2P*<3/2>).4p","2[1/2]","3s2.3p5.(2P*<1/2>).6s","2[1/2]*",,
"588.8584","25","1.29e+06","4.79e-03",C,"13.07571571","15.18063359","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3s2.3p5.(2P*<3/2>).7s","2[3/2]*",,
"591.2085","50","1.05e+06","5.51e-03",C,"12.90701530","15.00356588","3s2.3p5.(2P*<3/2>).4p","2[1/2]","3s2.3p5.(2P*<1/2>).4d","2[3/2]*",,
"592.8813","15","1.1e+06","3.5e-03",D+,"13.09487256","15.18550800","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3s2.3p5.(2P*<3/2>).7s","2[3/2]*",,
"594.2669","5","1.8e+05","9.5e-04",D,"13.09487256","15.18063359","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3s2.3p5.(2P*<3/2>).7s","2[3/2]*",,
"598.7302","7","1.2e+05","6.5e-04",D,"13.07571571","15.14592830","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3s2.3p5.(2P*<3/2>).5d","2[7/2]*",,
"599.8999","5","1.4e+05","7.6e-04",D,"13.09487256","15.1610486","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3s2.3p5.(2P*<3/2>).5d","2[5/2]*",,
"602.5150","5","9.0e+05","2.9e-03",D+,"13.30222747","15.3594356","3s2.3p5.(2P*<1/2>).4p","2[3/2]","3s2.3p5.(2P*<1/2>).7s","2[1/2]*",,
"603.2127","70","2.46e+06","1.73e-02",C,"13.07571571","15.13054437","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3s2.3p5.(2P*<3/2>).5d","2[7/2]*",,
"604.3223","35","1.47e+06","1.13e-02",C,"13.09487256","15.14592830","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3s2.3p5.(2P*<3/2>).5d","2[7/2]*",,
"605.2723","10","1.9e+05","1.7e-03",D+,"12.90701530","14.95485204","3s2.3p5.(2P*<3/2>).4p","2[1/2]","3s2.3p5.(2P*<1/2>).4d","2[5/2]*",,
"605.9372","20","4.2e+05","3.9e-03",C,"12.90701530","14.95260474","3s2.3p5.(2P*<3/2>).4p","2[1/2]","3s2.3p5.(2P*<1/2>).4d","2[3/2]*",,
