obs_wl_vac(nm),intens,Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,conf_k,term_k,Type,
"1148.8109","400","1.9e+05","3.8e-03",C,"11.82807116","12.90701530","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","3s2.3p5.(2P*<3/2>).4p","2[1/2]",,
"1166.8710","200","3.76e+06","7.68e-02",C,"13.17177770","14.2340226","3s2.3p5.(2P*<3/2>).4p","2[3/2]","3s2.3p5.(2P*<1/2>).3d","2[3/2]*",,
"1171.9488","12","9.52e+05","1.18e-02",C,"13.09487256","14.1525151","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3s2.3p5.(2P*<3/2>).3d","2[3/2]*",,
"1211.2326","200","3.1e+06","6.8e-02",D,"13.07571571","14.0990559","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3s2.3p5.(2P*<3/2>).3d","2[5/2]*",,
"1213.9738","50","4.5e+06","9.9e-02",D,"13.28263902","14.3036684","3s2.3p5.(2P*<1/2>).4p","2[3/2]","3s2.3p5.(2P*<1/2>).3d","2[3/2]*",,
"1234.3393","50","2.0e+06","6.4e-02",D,"13.09487256","14.0990559","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3s2.3p5.(2P*<3/2>).3d","2[5/2]*",,
"1240.2827","200","1.1e+07","2.5e-01",D,"13.15314387","14.1525151","3s2.3p5.(2P*<3/2>).4p","2[3/2]","3s2.3p5.(2P*<3/2>).3d","2[3/2]*",,
"1243.9321","200","4.9e+06","1.9e-01",D,"12.90701530","13.9034546","3s2.3p5.(2P*<3/2>).4p","2[1/2]","3s2.3p5.(2P*<3/2>).3d","2[3/2]*",,
"1245.612","100","8.9e+06","1.2e-01",D,"13.09487256","14.0899685","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3s2.3p5.(2P*<3/2>).5s","2[3/2]*",,
"1248.7663","200","1.1e+07","1.8e-01",D,"13.07571571","14.0682977","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3s2.3p5.(2P*<3/2>).5s","2[3/2]*",,
"1270.2281","150","7.1e+06","1.7e-01",D,"13.32785705","14.3036684","3s2.3p5.(2P*<1/2>).4p","2[1/2]","3s2.3p5.(2P*<1/2>).3d","2[3/2]*",,
"1273.3418","30","1.1e+06","2.7e-02",D,"13.09487256","14.0682977","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3s2.3p5.(2P*<3/2>).5s","2[3/2]*",,
"1274.6232","12","2.0e+06","4.9e-02",D,"13.28263902","14.2550856","3s2.3p5.(2P*<1/2>).4p","2[3/2]","3s2.3p5.(2P*<1/2>).5s","2[1/2]*",,
"1280.2739","200","5.7e+06","1.4e-01",D,"13.09487256","14.0630272","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3s2.3p5.(2P*<3/2>).3d","2[5/2]*",,
"1293.3195","50","1.0e+07","8.4e-02",D,"13.28263902","14.2410277","3s2.3p5.(2P*<1/2>).4p","2[3/2]","3s2.3p5.(2P*<1/2>).5s","2[1/2]*",,
"1295.6659","500","7.4e+06","1.9e-01",D,"12.90701530","13.8636686","3s2.3p5.(2P*<3/2>).4p","2[1/2]","3s2.3p5.(2P*<3/2>).3d","2[1/2]*",,
"1300.8264","200","8.9e+06","1.4e-01",D,"13.30222747","14.2550856","3s2.3p5.(2P*<1/2>).4p","2[3/2]","3s2.3p5.(2P*<1/2>).5s","2[1/2]*",,
"1321.399","200","8.1e+06","7.1e-02",D,"12.90701530","13.8450385","3s2.3p5.(2P*<3/2>).4p","2[1/2]","3s2.3p5.(2P*<3/2>).3d","2[1/2]*",,
"1323.090","100","4.6e+06","1.2e-01",D,"13.15314387","14.0899685","3s2.3p5.(2P*<3/2>).4p","2[3/2]","3s2.3p5.(2P*<3/2>).5s","2[3/2]*",,
"1327.264","500","1.5e+07","5.5e-01",D,"13.30222747","14.2361061","3s2.3p5.(2P*<1/2>).4p","2[3/2]","3s2.3p5.(2P*<1/2>).3d","2[5/2]*",,
"1331.3210","1000","1.3e+07","5.8e-01",D,"13.28263902","14.2136715","3s2.3p5.(2P*<1/2>).4p","2[3/2]","3s2.3p5.(2P*<1/2>).3d","2[5/2]*",,
"1349.941","30","2.7e+06","4.4e-02",D,"13.17177770","14.0899685","3s2.3p5.(2P*<3/2>).4p","2[3/2]","3s2.3p5.(2P*<3/2>).5s","2[3/2]*",,
"1350.4191","1000","1.1e+07","4.2e-01",D,"13.09487256","14.0127381","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3s2.3p5.(2P*<3/2>).3d","2[7/2]*",,
"1357.3617","11","5.1e+06","4.7e-02",D,"13.32785705","14.2410277","3s2.3p5.(2P*<1/2>).4p","2[1/2]","3s2.3p5.(2P*<1/2>).5s","2[1/2]*",,
"1359.9333","30","2.2e+06","6.1e-02",D,"13.30222747","14.2136715","3s2.3p5.(2P*<1/2>).4p","2[3/2]","3s2.3p5.(2P*<1/2>).3d","2[5/2]*",,
"1362.2659","400","7.3e+06","3.4e-01",D,"13.15314387","14.0630272","3s2.3p5.(2P*<3/2>).4p","2[3/2]","3s2.3p5.(2P*<3/2>).3d","2[5/2]*",,
"1367.8550","200","6.2e+06","2.9e-01",D,"13.32785705","14.2340226","3s2.3p5.(2P*<1/2>).4p","2[1/2]","3s2.3p5.(2P*<1/2>).3d","2[3/2]*",,
"1382.5715","10","3.3e+06","9.5e-02",D,"13.17177770","14.0682977","3s2.3p5.(2P*<3/2>).4p","2[3/2]","3s2.3p5.(2P*<3/2>).5s","2[3/2]*",,
"1409.3640","200","4.3e+06","3.8e-01",D,"13.27303810","14.1525151","3s2.3p5.(2P*<3/2>).4p","2[1/2]","3s2.3p5.(2P*<3/2>).3d","2[3/2]*",,
"1504.650","100","5.2e+06","5.3e-01",D,"13.47988682","14.3036684","3s2.3p5.(2P*<1/2>).4p","2[1/2]","3s2.3p5.(2P*<1/2>).3d","2[3/2]*",,
"1517.269","25","1.3e+06","1.3e-01",D,"13.27303810","14.0899685","3s2.3p5.(2P*<3/2>).4p","2[1/2]","3s2.3p5.(2P*<3/2>).5s","2[3/2]*",,
"1532.934","10","1.2e+05","4.2e-03",E,"13.09487256","13.9034546","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3s2.3p5.(2P*<3/2>).3d","2[3/2]*",,
"1598.949","30","1.9e+06","2.2e-01",D,"13.47988682","14.2550856","3s2.3p5.(2P*<1/2>).4p","2[1/2]","3s2.3p5.(2P*<1/2>).5s","2[1/2]*",,
"1651.986","30","2.6e+05","1.8e-02",D,"13.15314387","13.9034546","3s2.3p5.(2P*<3/2>).4p","2[3/2]","3s2.3p5.(2P*<3/2>).3d","2[3/2]*",,
"1694.058","500","2.5e+06","1.1e-01",D,"13.17177770","13.9034546","3s2.3p5.(2P*<3/2>).4p","2[3/2]","3s2.3p5.(2P*<3/2>).3d","2[3/2]*",,
"2062.186","50","3.9e+05","2.5e-02",D,"13.30222747","13.9034546","3s2.3p5.(2P*<1/2>).4p","2[3/2]","3s2.3p5.(2P*<3/2>).3d","2[3/2]*",,
"2313.951","20","1.7e+05","1.4e-02",D,"13.32785705","13.8636686","3s2.3p5.(2P*<1/2>).4p","2[1/2]","3s2.3p5.(2P*<3/2>).3d","2[1/2]*",,
"2397.306","20","3.6e+05","1.0e-02",D,"13.32785705","13.8450385","3s2.3p5.(2P*<1/2>).4p","2[1/2]","3s2.3p5.(2P*<3/2>).3d","2[1/2]*",,
